Size,Stage,1a,1b,1c,1d
1250,Stage 1,45.64,108.75,324,475
1250,Stage 1,34.59,111.45,352,456
1250,Stage 1,35.49,107.28,356,458
1250,Stage 1,40.17,114.64,352,460
1250,Stage 1,36.37,109.3,357,491
2500,Stage 1,54.78,179.32,410,461
2500,Stage 1,54.74,180.87,366,460
2500,Stage 1,56.8,177.27,324,476
2500,Stage 1,55.48,184.47,370,441
2500,Stage 1,56.78,184.47,338,469
5000,Stage 1,93.97,316.24,387,481
5000,Stage 1,93.74,316.33,390,470
5000,Stage 1,86.7,318.98,388,476
5000,Stage 1,86.11,318.89,386,490
5000,Stage 1,96.43,315.89,383,463
7500,Stage 1,123.78,460.87,437,490
7500,Stage 1,115.69,461.42,394,479
7500,Stage 1,118.07,453.42,435,486
7500,Stage 1,107.34,445.36,404,481
7500,Stage 1,120.6,456.97,425,517
10000,Stage 1,138.07,589.86,432,528
10000,Stage 1,148.76,597.21,417,519
10000,Stage 1,145.63,583.6,412,519
10000,Stage 1,157.13,587.03,463,515
10000,Stage 1,136.55,578.63,424,537
