Batch Size,Stage,Config,Duration - Median,Duration - Standard Deviation
1250,Stage 1,1a,36.37,4.545384472187144
1250,Stage 1,1b,109.3,2.8583089406150637
1250,Stage 1,1c,352.0,13.718600511714016
1250,Stage 1,1d,460.0,14.882876066137216
2500,Stage 1,1a,55.48,1.0236600998378282
2500,Stage 1,1b,180.87,3.1797012438277834
2500,Stage 1,1c,366.0,33.178306165324365
2500,Stage 1,1d,461.0,13.126309458488326
5000,Stage 1,1a,93.74,4.675868903209327
5000,Stage 1,1b,316.33,1.5327524261928405
5000,Stage 1,1c,387.0,2.5884358211089573
5000,Stage 1,1d,476.0,10.319883720275143
7500,Stage 1,1a,118.07,6.226132828650539
7500,Stage 1,1b,456.97,6.578979404132513
7500,Stage 1,1c,425.0,19.144189719076646
7500,Stage 1,1d,486.0,15.37205256301187
10000,Stage 1,1a,145.63,8.379124059231962
10000,Stage 1,1b,587.03,6.958586781811367
10000,Stage 1,1c,424.0,20.132063977645217
10000,Stage 1,1d,519.0,8.876936408468852
